ID,State,route_name,route_link
0,Uttar Pradesh(UPSRTC),Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
1,Uttar Pradesh(UPSRTC),Delhi to Lucknow,https://www.redbus.in/bus-tickets/delhi-to-lucknow
2,Uttar Pradesh(UPSRTC),Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
3,Uttar Pradesh(UPSRTC),Lucknow to Gorakhpur (uttar pradesh),https://www.redbus.in/bus-tickets/lucknow-to-gorakhpur
4,Uttar Pradesh(UPSRTC),Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi
5,Uttar Pradesh(UPSRTC),Lucknow to Prayagraj(Uttar Pradesh),https://www.redbus.in/bus-tickets/lucknow-to-allahabad
6,Uttar Pradesh(UPSRTC),Delhi to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh
7,Uttar Pradesh(UPSRTC),Lucknow to Delhi,https://www.redbus.in/bus-tickets/lucknow-to-delhi
8,Uttar Pradesh(UPSRTC),Prayagraj(Uttar Pradesh) to Lucknow,https://www.redbus.in/bus-tickets/allahabad-to-lucknow
9,Uttar Pradesh(UPSRTC),Delhi to Farrukhabad (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-farrukhabad-up
10,Bihar (BSRTC),Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah
11,Bihar (BSRTC),Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari
12,Bihar (BSRTC),Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna
13,Bihar (BSRTC),Gopalganj (Bihar) to Delhi,https://www.redbus.in/bus-tickets/gopalganj-to-delhi
14,Bihar (BSRTC),Patna (Bihar) to Balmiki Nagar (bihar),https://www.redbus.in/bus-tickets/patna-to-balmiki-nagar-bihar
15,Bihar (BSRTC),Balmiki Nagar (bihar) to Patna (Bihar),https://www.redbus.in/bus-tickets/balmiki-nagar-bihar-to-patna
16,Bihar (BSRTC),Delhi to Motihari,https://www.redbus.in/bus-tickets/delhi-to-motihari
17,Bihar (BSRTC),Patna (Bihar) to Katihar,https://www.redbus.in/bus-tickets/patna-to-katihar
18,Bihar (BSRTC),Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea
19,Bihar (BSRTC),Motihari to Delhi,https://www.redbus.in/bus-tickets/motihari-to-delhi
20,Rajasthan (RSRTC),Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer
21,Rajasthan (RSRTC),Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur
22,Rajasthan (RSRTC),Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur
23,Rajasthan (RSRTC),Jaipur (Rajasthan) to Jodhpur,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur
24,Rajasthan (RSRTC),Sikar to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/sikar-to-jaipur
25,Rajasthan (RSRTC),Aligarh (uttar pradesh) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-jaipur
26,Rajasthan (RSRTC),Kota(Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/kota-rajasthan-to-jaipur
27,Rajasthan (RSRTC),Jaipur (Rajasthan) to Pilani,https://www.redbus.in/bus-tickets/jaipur-to-pilani
28,Rajasthan (RSRTC),Jaipur (Rajasthan) to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/jaipur-to-aligarh-uttar-pradesh
29,Rajasthan (RSRTC),Kishangarh to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/kishangarh-to-jaipur
30,Kerela (KSRTC),Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
